stata_source_position;lims_group_header;lims_field_header;stata_variable;redcap_variable;transformation;required;notes
76;MDFT-COLDA;COLDA;lims_sal4_colda;lims_sal4_colda;subinstr mois FR -> date(DMY) -> format %tdCCYY-NN-DD (le fichier de reference affiche DD/MM/YYYY apres re-sauvegarde Excel);NO;
77;MDFT-COLTI;COLTI;lims_sal4_colti;lims_sal4_colti;rename direct (valeur copiee telle quelle);NO;
78;MDFT-ALIQU;Aliquots;lims_sal4_aliqu;lims_sal4_aliqu;rename direct (valeur copiee telle quelle);NO;
79;MDFT-SAMCC;SAMCO;lims_sal4_samcc;lims_sal4_samcc;rename direct (valeur copiee telle quelle);NO;INCOHERENCE: code Excel=MDFT-SAMCC, nom Excel(ligne3)=SAMCO, variable Stata=lims_sal4_samcc
80;MDFT-SEL;Selles;lims_mdft_sel;lims_mdft_sel;rename direct (valeur copiee telle quelle);NO;Code MDFT-SEL / champ Selles
81;MDFT-COLSE;CollDate;lims_sel_colse;lims_sel_colse;subinstr mois FR -> date(DMY) -> format %tdCCYY-NN-DD (le fichier de reference affiche DD/MM/YYYY apres re-sauvegarde Excel);NO;INCOHERENCE: code Excel=MDFT-COLSE, nom Excel(ligne3)=CollDate, variable Stata=lims_sel_colse
82;MDFT-COLTI;COLTI;lims_sel_colti;lims_sel_colti;rename direct (valeur copiee telle quelle);NO;
83;MDFT-STOTI;STOTI;lims_sel_stoti;lims_sel_stoti;rename direct (valeur copiee telle quelle);NO;
84;MDFT-ALIQU;Aliquots;lims_sel_aliqu;lims_sel_aliqu;rename direct (valeur copiee telle quelle);NO;
85;MDFT-SAMCD;SAMCO;lims_sel_samcd;lims_sel_samcd;rename direct (valeur copiee telle quelle);NO;INCOHERENCE: code Excel=MDFT-SAMCD, nom Excel(ligne3)=SAMCO, variable Stata=lims_sel_samcd
86;MDFT-PL;Plasma;lims_mdft_pl;lims_mdft_pl;rename direct (valeur copiee telle quelle);NO;Code MDFT-PL / champ Plasma
87;MDFT-COLDA;COLDA;lims_pl_colda;lims_pl_colda;subinstr mois FR -> date(DMY) -> format %tdCCYY-NN-DD (le fichier de reference affiche DD/MM/YYYY apres re-sauvegarde Excel);NO;
88;MDFT-COLTI;COLTI;lims_pl_colti;lims_pl_colti;rename direct (valeur copiee telle quelle);NO;
89;MDFT-CENTI;CENTI;lims_pl_centi;lims_pl_centi;rename direct (valeur copiee telle quelle);NO;
90;MDFT-STOTI;STOTI;lims_pl_stoti;lims_pl_stoti;rename direct (valeur copiee telle quelle);NO;
91;MDFT-ALIQU;Aliquots;lims_pl_aliqu;lims_pl_aliqu;rename direct (valeur copiee telle quelle);NO;
92;MDFT-SAMCO;SAMCO;lims_pl_samco;lims_pl_samco;rename direct (valeur copiee telle quelle);NO;Code MDFT-SAMCO, nom SAMCO, variable lims_pl_samco (coherent)
